Unnamed: 0,ApplicationName,CPU_USAGE,cutime,lru,num_threads,otherPrivateDirty,priority,utime,vsize,cminflt,guest_time,Mem,queue
434,Facebook,0.16,0.0,0,77,5444,20,466.0,2204700672,NULL,21.024753655823325,2204700672,100.0
1881,WhatsApp,0.07,1.0,0,47,1540,20,358.0,1992155136,NULL,12.8707212218345,1992155136,100.0
9772,WhatsApp,0.23,0.0,0,55,2736,20,3463.0,2008158208,NULL,170.07083732577618,2008158208,100.0
13778,WhatsApp,0.24,0.0,0,61,22164,20,5244.0,2059481088,NULL,257.7141983061509,2059481088,100.0
21038,WhatsApp,0.14,1.0,0,55,15000,20,1351.0,2020352000,NULL,66.01159888583504,2020352000,100.0
22236,Facebook,4.99,0.0,0,111,19688,14,460.0,2272055296,NULL,17.092658934681218,2272055296,121.42857142857143
26568,Facebook,0.23,0.0,0,111,2420,14,1243.0,2275667968,NULL,59.46765800503921,2275667968,121.42857142857143
27831,WhatsApp,0.47,1.0,0,55,33944,20,4200.0,2085740544,NULL,205.77731485960652,2085740544,100.0
28005,WhatsApp,0.46,1.0,0,55,33904,20,4204.0,2085740544,NULL,207.1037714581896,2085740544,100.0
29816,Facebook,0.17,0.0,0,111,3044,14,1572.0,2276429824,NULL,74.29475688867396,2276429824,121.42857142857143
33641,Facebook,0.13,0.0,0,111,3516,14,1791.0,2277658624,NULL,85.5464544936305,2277658624,121.42857142857143
40917,Facebook,0.02,0.0,0,11,68,20,23.0,2100891648,NULL,-2.3489311516218674,2100891648,100.0
42067,Facebook,0.19,0.0,0,134,47816,20,4974.0,2373021696,NULL,242.77272627803532,2373021696,100.0
45601,Facebook,0.19,0.0,0,134,41676,20,5682.0,2374074368,NULL,281.5652168396216,2374074368,100.0
51672,Facebook,0.0,0.0,0,12,120,20,31.0,2101858304,NULL,0.31813825264993056,2101858304,100.0
63332,Facebook,0.24,0.0,0,142,37852,20,12190.0,2436481024,NULL,606.7350234846215,2436481024,100.0
74881,Facebook,0.09,0.0,0,81,8520,20,1119.0,2218504192,NULL,50.29198225621789,2218504192,100.0
82073,Facebook,0.08,0.0,0,87,7016,20,1636.0,2231578624,NULL,79.30134045914694,2231578624,100.0
